week,config_add,shell_add,python_add,docs_add,unknown_add,terraform_add,config_del,shell_del,python_del,docs_del,unknown_del,terraform_del,commit_feat,commit_refactor,commit_fix,commit_style,commit_test,commit_other,commit_docs,commit_chore,commit_ci,commit_perf,python_package,terraform_module,design_spec,uml_diagram,go_add,go_del,pypi_package,helm_chart,dockerfile,break%,deep_work%,deep_life%,overtime,vacation_days,work_days,life_days,public_holidays,life_hours,work_hours,sick_days
2022_02,586.0,,6706.0,337.0,360.0,66.0,84.0,,2465.0,227.0,82.0,4.0,73.0,23.0,34.0,21.0,7.0,,14.0,50.0,,,8.0,1.0,,,,,63.0,2.0,1.0,12.0,80.0,15.0,17.91,0.0,7.0,2.0,0.0,,,
2022_03,492.0,,2083.0,490.0,67.0,173.0,252.0,,995.0,198.0,5.0,84.0,44.0,4.0,32.0,10.0,4.0,1.0,13.0,22.0,,,8.0,2.0,1.0,,,,63.0,4.0,4.0,9.0,82.0,1.0,14.36,0.0,5.0,4.0,0.0,8.33,51.86,
2022_04,688.0,,2990.0,656.0,79.0,69.0,433.0,,799.0,566.0,6.0,22.0,47.0,12.0,22.0,7.0,10.0,,19.0,14.0,,2.0,8.0,2.0,3.0,,,,63.0,6.0,5.0,5.0,87.0,43.0,14.0,0.0,5.0,6.0,0.0,4.7,51.5,
2022_05,1137.0,,3257.0,458.0,364.0,56.0,683.0,,2747.0,86.0,415.0,21.0,69.0,14.0,37.0,6.0,4.0,4.0,3.0,39.0,,,10.0,3.0,3.0,2.0,,,63.0,10.0,12.0,5.0,75.0,35.0,15.15,0.0,5.0,6.0,0.0,2.2,52.66,
2022_06,1187.0,,1686.0,1001.0,68.0,10.0,118.0,,1014.0,382.0,1.0,3.0,70.0,2.0,14.0,1.0,2.0,,6.0,8.0,,,10.0,3.0,3.0,2.0,,,63.0,10.0,12.0,5.0,83.0,93.0,1.37,1.0,4.0,6.0,0.0,8.24,31.36,
2022_07,882.0,,2538.0,671.0,112.0,823.0,149.0,,1588.0,134.0,54.0,80.0,57.0,7.0,26.0,14.0,5.0,1.0,9.0,7.0,,,10.0,7.0,3.0,3.0,,,63.0,10.0,13.0,4.0,88.0,55.0,11.580000000000002,0.0,6.0,6.0,0.0,3.23,49.09,
2022_08,980.0,,3351.0,586.0,269.0,34.0,244.0,,1637.0,287.0,42.0,6.0,31.0,9.0,24.0,12.0,10.0,1.0,4.0,23.0,,,10.0,7.0,3.0,5.0,,,64.0,10.0,14.0,6.0,93.0,68.0,11.39,0.0,5.0,2.0,0.0,3.08,48.91,
2022_09,169.0,,2391.0,151.0,1.0,,1039.0,,1423.0,55.0,2.0,,28.0,2.0,13.0,1.0,8.0,1.0,3.0,3.0,,,10.0,7.0,3.0,5.0,,,64.0,10.0,14.0,4.0,91.0,0.0,4.089999999999999,2.0,3.0,2.0,0.0,1.94,26.58,
2022_10,274.0,,1101.0,930.0,4.0,,209.0,,557.0,162.0,48.0,,24.0,6.0,20.0,3.0,11.0,2.0,4.0,20.0,,,10.0,7.0,4.0,6.0,,,64.0,10.0,14.0,5.0,86.0,92.0,8.61,0.0,5.0,3.0,0.0,4.65,46.11,
2022_11,793.0,,314.0,270.0,100.0,,52.0,,9.0,61.0,2.0,,18.0,2.0,3.0,,,1.0,9.0,2.0,,,10.0,7.0,4.0,7.0,53.0,34.0,64.0,11.0,15.0,6.0,87.0,70.0,1.0500000000000005,0.0,5.0,4.0,0.0,7.75,38.55,
2022_12,962.0,,850.0,744.0,173.0,244.0,435.0,,87.0,132.0,1.0,54.0,31.0,5.0,24.0,,,,4.0,3.0,,,10.0,8.0,4.0,7.0,220.0,65.0,65.0,14.0,15.0,7.0,95.0,22.0,3.91,0.0,5.0,2.0,0.0,3.17,41.41,
2022_13,1338.0,,2431.0,336.0,124.0,67.0,112.0,,997.0,89.0,13.0,163.0,54.0,2.0,19.0,6.0,4.0,2.0,4.0,8.0,,,10.0,8.0,4.0,7.0,,,67.0,15.0,16.0,5.0,92.0,22.0,4.750000000000002,0.0,6.0,4.0,0.0,6.36,42.25,
2022_14,133.0,,2983.0,93.0,10.0,275.0,11.0,,896.0,65.0,6.0,51.0,34.0,6.0,28.0,,4.0,,4.0,5.0,,,11.0,9.0,4.0,7.0,,,69.0,15.0,16.0,4.0,91.0,65.0,6.490000000000001,0.0,5.0,2.0,0.0,7.31,43.99,
2022_15,1059.0,98.0,1209.0,417.0,146.0,1289.0,45.0,0.0,251.0,149.0,1.0,84.0,43.0,5.0,11.0,1.0,1.0,,3.0,3.0,,,11.0,11.0,4.0,7.0,,,69.0,16.0,17.0,3.0,98.0,82.0,8.74,0.0,4.0,4.0,3.0,7.5,31.26,
2022_16,708.0,,1954.0,561.0,119.0,439.0,478.0,,230.0,402.0,2.0,122.0,25.0,5.0,7.0,,2.0,2.0,4.0,3.0,,,11.0,13.0,4.0,8.0,,,69.0,16.0,17.0,4.0,99.0,87.0,4.95,1.0,5.0,4.0,1.0,14.74,34.96,
2022_17,153.0,,4075.0,391.0,18.0,,32.0,,1499.0,108.0,1.0,,46.0,10.0,13.0,1.0,4.0,,1.0,8.0,,,11.0,13.0,4.0,8.0,,,71.0,16.0,18.0,5.0,89.0,8.0,14.05,0.0,7.0,3.0,1.0,2.19,51.55,
2022_18,925.0,,3080.0,324.0,270.0,132.0,173.0,,2116.0,68.0,2.0,11.0,39.0,7.0,23.0,5.0,4.0,,5.0,10.0,,,12.0,13.0,4.0,9.0,1.0,0.0,71.0,20.0,22.0,11.0,78.0,,4.090000000000002,0.0,5.0,0.0,0.0,,41.6,
2022_19,742.0,,2941.0,197.0,98.0,176.0,432.0,,687.0,18.0,93.0,18.0,53.0,8.0,30.0,5.0,6.0,1.0,3.0,12.0,,,13.0,15.0,5.0,9.0,,,71.0,21.0,23.0,5.0,94.0,,7.049999999999999,0.0,5.0,2.0,0.0,0.87,44.54,
2022_20,1.0,,2236.0,203.0,,,0.0,,224.0,65.0,,,12.0,1.0,4.0,,1.0,,1.0,2.0,,,13.0,15.0,5.0,10.0,,,71.0,21.0,23.0,4.0,96.0,84.0,4.74,1.0,4.0,2.0,1.0,3.73,27.24,
2022_21,224.0,,3511.0,131.0,37.0,,203.0,,2236.0,279.0,40.0,,36.0,25.0,26.0,10.0,7.0,1.0,3.0,18.0,,,15.0,15.0,5.0,10.0,,,73.0,21.0,23.0,6.0,99.0,91.0,4.4,0.0,4.0,3.0,1.0,8.35,34.39,
